    0        1   2      3   4        5
0  20  50054.0  30  50000  30  14904.0
0  20   9869.0  30  50000  30  46618.0
0  20  61317.0  30  50000  30    299.0
0  20  34875.0  30  50000  30  23576.0
0  20  46740.0  30  50000  30   7248.0
0  20  35229.0  30  50000  30  19980.0
0  20  51524.0  30  50000  30  12713.0
0  20  43723.0  30  50000  30  39657.0
0  20     16.0  30  50000  30  28454.0
0  20  38914.0  30  50000  30  50019.0
0  20  59355.0  30  50000  30  44143.0
0  20  15014.0  30  50000  30  56008.0
0  20  30886.0  30  50000  30  33846.0
0  20   7117.0  30  50000  30  59176.0
0  20  56678.0  30  50000  30  35824.0
0  20  19959.0  30  50000  30   5511.0
0  20   4241.0  30  50000  30  61698.0
0  20  27988.0  30  50000  30  16077.0
0  20  24478.0  30  50000  30  53265.0
0  20  18717.0  30  50000  30  29366.0
