    0        1   2      3   4        5
0  20  53443.0  30  50000  30  15692.0
0  20  43800.0  30  50000  30  12283.0
0  20  16086.0  30  50000  30  38430.0
0  20  26959.0  30  50000  30  32247.0
0  20  42082.0  30  50000  30  57698.0
0  20   2081.0  30  50000  30   2220.0
0  20  48034.0  30  50000  30   6091.0
0  20   2822.0  30  50000  30  35634.0
0  20  14496.0  30  50000  30  28744.0
0  20  62444.0  30  50000  30    208.0
0  20  28669.0  30  50000  30  43715.0
0  20  57767.0  30  50000  30  45810.0
0  20  29920.0  30  50000  30  51569.0
0  20  25520.0  30  50000  30  62792.0
0  20  18850.0  30  50000  30  60583.0
0  20  35618.0  30  50000  30  26913.0
0  20  45672.0  30  50000  30  50421.0
0  20  55836.0  30  50000  30  17163.0
0  20  60067.0  30  50000  30   9332.0
0  20   9067.0  30  50000  30   7735.0
0  20  33171.0  30  50000  30  22406.0
0  20  37791.0  30  50000  30  14627.0
0  20  39808.0  30  50000  30  54738.0
0  20  21930.0  30  50000  30  30214.0
0  20   6303.0  30  50000  30  55617.0
0  20  50640.0  30  50000  30  20570.0
0  20  52382.0  30  50000  30  40589.0
0  20  11971.0  30  50000  30  24716.0
0  20   7295.0  30  50000  30  38272.0
0  20  19728.0  30  50000  30  48161.0
