    0        1   2      3   4        5
0  20  49533.0  30  50000  30  48025.0
0  20   4526.0  30  50000  30  52290.0
0  20  61836.0  30  50000  30  26306.0
0  20   2321.0  30  50000  30  32718.0
0  20  21356.0  30  50000  30  11362.0
0  20  16848.0  30  50000  30  14596.0
0  20  48525.0  30  50000  30  48811.0
0  20  44572.0  30  50000  30  46116.0
0  20  30655.0  30  50000  30  12486.0
0  20  45728.0  30  50000  30  21273.0
0  20   7185.0  30  50000  30  27781.0
0  20  55575.0  30  50000  30  62992.0
0  20  12713.0  30  50000  30  12974.0
0  20  54868.0  30  50000  30  49938.0
0  20  19257.0  30  50000  30  22208.0
0  20  35873.0  30  50000  30  23795.0
0  20  28641.0  30  50000  30  61942.0
0  20  26637.0  30  50000  30  36399.0
0  20  34543.0  30  50000  30   1157.0
0  20  62912.0  30  50000  30  40125.0
0  20  43000.0  30  50000  30  45457.0
0  20  18407.0  30  50000  30  38123.0
0  20  10201.0  30  50000  30  18427.0
0  20  39477.0  30  50000  30  41756.0
0  20  11313.0  30  50000  30  17743.0
0  20  59479.0  30  50000  30  57535.0
0  20  37650.0  30  50000  30  53948.0
0  20  13149.0  30  50000  30  16546.0
0  20  52552.0  30  50000  30   9589.0
0  20  47186.0  30  50000  30   4170.0
0  20   8720.0  30  50000  30  58187.0
0  20  57599.0  30  50000  30  30694.0
0  20  51195.0  30  50000  30  28790.0
0  20  51910.0  30  50000  30  59300.0
0  20  40664.0  30  50000  30   3370.0
0  20  61369.0  30  50000  30  24627.0
0  20  25407.0  30  50000  30  33377.0
0  20  27196.0  30  50000  30  43684.0
0  20  58176.0  30  50000  30  34723.0
0  20  23205.0  30  50000  30   7874.0
0  20  31941.0  30  50000  30  38577.0
0  20  41735.0  30  50000  30  20020.0
0  20  32292.0  30  50000  30  30952.0
0  20   3419.0  30  50000  30   6842.0
0  20  16151.0  30  50000  30  43387.0
0  20    458.0  30  50000  30  60766.0
0  20  14225.0  30  50000  30   2134.0
0  20   5979.0  30  50000  30  52700.0
0  20  35225.0  30  50000  30   5366.0
0  20  22748.0  30  50000  30  55092.0
